Address,Area,Year,Number Of Room,Price,Price per meter,Floor,Elevator,Parking,Warehouse
کوی بیمه,105,1395,2,4100000000,39048000,4,1,1,1
فرمانیه,755,1398,4,150000000000,198675000,10,1,1,1
پونک,68,1381,2,2460000000,36176000,1,0,1,1
کوی بیمه,88,1396,2,3200000000,36364000,5,1,1,1
پردیس,135,1398,3,2500000000,18519000,0,1,1,1
کوی بیمه,76,1400,2,3530000000,46447000,5,1,1,1
بریانک,53,1395,1,1100000000,20755000,3,1,1,1
سازمان برنامه,87,1380,2,2275000000,26149000,4,0,1,1
جی,50,1378,1,740000000,14800000,1,0,0,1
پونک,78,1384,2,3000000000,38462000,3,0,1,1
سازمان برنامه,110,1394,2,3960000000,36000000,1,1,1,1
نارمک,71,1390,2,2500000000,35211000,2,1,1,1
شهرک گلها,130,1400,2,1300000000,10000000,9,1,1,1
آجودانیه,100,1398,2,9900000000,99000000,1,1,1,1
شادمهر,95,1399,2,3600000000,37895000,2,1,1,1
شهر زیبا,126,1400,2,1450000000,11508000,1,1,1,1
سهروردی,90,1372,2,3300000000,36667000,0,0,1,1
سعادت‌آباد,250,1400,3,25000000000,100000000,5,1,1,1
ولنجک,160,1400,3,13500000000,84375000,1,1,1,1
سعادت‌آباد,195,1400,3,21000000000,107692000,3,1,1,1
چهارصد دستگاه,44,1388,1,850000000,19318000,3,0,0,0
نازی‌آباد,61,1382,1,1200000000,19672000,0,0,0,1
سعادت‌آباد,180,1390,3,12300000000,68333000,3,1,1,1
دریاچه شهدای خلیج فارس,77,1386,2,2200000000,28571000,2,1,1,1
کن,77,1399,2,2300000000,29870000,1,1,1,1
شهریار,73,1391,2,600000000,8219000,2,1,1,1
شهر قدس,80,1390,2,880000000,11000000,3,1,0,1
شهر قدس,90,1400,2,970000000,10778000,4,1,1,1
پاکدشت,70,1390,1,520000000,7429000,3,0,0,0
سلسبیل,94,1399,2,2350000000,25000000,4,1,1,1
پردیس,88,1397,2,720000000,8182000,4,1,1,1
اقدسیه,125,1390,2,6500000000,52000000,3,1,1,1
نعمت‌آباد,75,1395,1,900000000,12000000,4,1,1,1
فرمانیه,120,1400,2,11000000000,91667000,6,1,1,1
شهر زیبا,76,1384,2,2400000000,31579000,2,1,1,1
جنت‌آباد مرکزی,86,1399,2,4558000000,53000000,7,1,1,1
نواب,56,1395,1,1070000000,19107000,2,1,0,1
فلاح,64,1395,2,1088000000,17000000,4,1,0,0
سعادت‌آباد,100,1386,2,7000000000,70000000,4,1,1,1
نیاوران,240,1389,3,20000000000,83333000,1,1,1,1
اندیشه,164,1393,3,2050000000,12500000,4,1,1,1
پونک,85,1392,2,3400000000,40000000,1,1,1,1
جیحون,63,1383,2,1270000000,20159000,3,0,1,1
جنت‌آباد مرکزی,64,1391,2,2650000000,41406000,1,1,1,1
پرستار,70,1382,2,2000000000,28571000,4,1,0,1
پردیس,87,1398,2,720000000,8276000,9,1,1,1
شهر زیبا,115,1397,2,3500000000,30435000,6,1,1,1
سوهانک,85,1395,2,4800000000,56471000,1,1,1,1
نیاوران,145,1390,3,8800000000,60690000,3,1,1,1
محمودیه,170,1399,3,22900000000,134706000,4,1,1,1
شهرک غرب,161,1375,3,14500000000,90062000,3,1,1,1
پرند,61,1400,1,310000000,5082000,4,1,0,0
اندیشه,68,1392,2,420000000,6176000,2,1,1,1
ستارخان,68,1390,2,2400000000,35294000,1,1,1,1
سعادت‌آباد,122,1390,2,8100000000,66393000,2,1,1,1
جیحون,60,1382,2,750000000,12500000,3,0,0,1
منیریه,80,1391,2,2270000000,28375000,4,1,0,1
سعادت‌آباد,95,1400,3,8200000000,86316000,1,1,1,1
شهید بروجردی,30,1385,0,550000000,18333000,7,1,0,1
کوی فردوس,55,1385,1,1980000000,36000000,2,0,1,1
جردن,170,1372,3,7800000000,45882000,1,0,1,0
سعادت‌آباد,150,1385,3,9100000000,60667000,3,1,1,1
جنت‌آباد شمالی,160,1400,3,8000000000,50000000,5,1,1,1
اندیشه,40,1392,1,310000000,7750000,3,1,1,1
اندیشه,51,1390,1,405000000,7941000,1,0,0,1
نظام‌آباد,81,1388,2,1800000000,22222000,2,0,1,1
نیلوفر,190,1400,3,15390000000,81000000,4,1,1,1
یوسف‌آباد,113,1396,2,6000000000,53097000,3,1,1,1
اندیشه,54,1396,1,470000000,8704000,1,0,1,1
بریانک,50,1385,1,845000000,16900000,1,0,1,1
